Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Italy,Italy,IT,224.85,296.6,50.98,43.18,,false,""
2024-01-01T01:00:00.000000,Italy,Italy,IT,219.89,289.84,52.62,45.05,,false,""
2024-01-01T02:00:00.000000,Italy,Italy,IT,219.31,289.11,52.9,45.16,,false,""
2024-01-01T03:00:00.000000,Italy,Italy,IT,217.46,287.14,53.32,45.39,,false,""
2024-01-01T04:00:00.000000,Italy,Italy,IT,216.03,284.8,53.78,46.06,,false,""
2024-01-01T05:00:00.000000,Italy,Italy,IT,217.9,286.91,53.21,45.67,,false,""
2024-01-01T06:00:00.000000,Italy,Italy,IT,218.97,288.14,52.87,46.2,,false,""
2024-01-01T07:00:00.000000,Italy,Italy,IT,203.64,269.76,56.3,49.86,,false,""
2024-01-01T08:00:00.000000,Italy,Italy,IT,193.82,258.51,58.03,52.91,,false,""
2024-01-01T09:00:00.000000,Italy,Italy,IT,176.31,238.02,61.67,56.25,,false,""
2024-01-01T10:00:00.000000,Italy,Italy,IT,177.74,239.4,61.48,56.04,,false,""
2024-01-01T11:00:00.000000,Italy,Italy,IT,187.26,250.95,59.13,53.78,,false,""
2024-01-01T12:00:00.000000,Italy,Italy,IT,200.15,266.95,55.9,50.05,,false,""
2024-01-01T13:00:00.000000,Italy,Italy,IT,207.94,276.45,53.97,46.26,,false,""
2024-01-01T14:00:00.000000,Italy,Italy,IT,230.02,303.02,48.63,40.35,,false,""
2024-01-01T15:00:00.000000,Italy,Italy,IT,249.46,325.57,44.32,36.39,,false,""
2024-01-01T16:00:00.000000,Italy,Italy,IT,243.57,316.5,45.65,38.45,,false,""
2024-01-01T17:00:00.000000,Italy,Italy,IT,241.45,313.49,46.0,39.32,,false,""
2024-01-01T18:00:00.000000,Italy,Italy,IT,241.87,313.85,45.83,39.01,,false,""
2024-01-01T19:00:00.000000,Italy,Italy,IT,245.4,318.62,45.05,38.18,,false,""
2024-01-01T20:00:00.000000,Italy,Italy,IT,250.51,325.57,44.09,37.1,,false,""
2024-01-01T21:00:00.000000,Italy,Italy,IT,258.13,336.94,42.34,35.32,,false,""
2024-01-01T22:00:00.000000,Italy,Italy,IT,255.27,333.15,43.65,36.62,,false,""
2024-01-01T23:00:00.000000,Italy,Italy,IT,235.59,307.69,49.37,40.38,,false,""
2024-01-02T00:00:00.000000,Italy,Italy,IT,224.01,293.12,52.32,42.46,,false,""
2024-01-02T01:00:00.000000,Italy,Italy,IT,227.96,297.63,51.92,41.37,,false,""
2024-01-02T02:00:00.000000,Italy,Italy,IT,238.07,310.48,49.41,38.88,,false,""
2024-01-02T03:00:00.000000,Italy,Italy,IT,238.43,311.42,49.05,38.29,,false,""
2024-01-02T04:00:00.000000,Italy,Italy,IT,251.64,327.86,45.8,36.78,,false,""
2024-01-02T05:00:00.000000,Italy,Italy,IT,269.8,350.87,40.43,32.51,,false,""
2024-01-02T06:00:00.000000,Italy,Italy,IT,261.17,340.06,41.56,34.32,,false,""
2024-01-02T07:00:00.000000,Italy,Italy,IT,244.86,319.33,45.15,38.35,,false,""
2024-01-02T08:00:00.000000,Italy,Italy,IT,235.0,307.89,47.36,41.47,,false,""
2024-01-02T09:00:00.000000,Italy,Italy,IT,225.86,297.94,49.27,43.9,,false,""
2024-01-02T10:00:00.000000,Italy,Italy,IT,220.56,291.31,50.75,45.08,,false,""
2024-01-02T11:00:00.000000,Italy,Italy,IT,213.83,282.76,52.58,46.74,,false,""
2024-01-02T12:00:00.000000,Italy,Italy,IT,213.53,282.5,52.5,46.28,,false,""
2024-01-02T13:00:00.000000,Italy,Italy,IT,223.15,294.95,49.81,43.9,,false,""
2024-01-02T14:00:00.000000,Italy,Italy,IT,235.65,309.69,46.79,40.76,,false,""
2024-01-02T15:00:00.000000,Italy,Italy,IT,242.51,317.06,45.08,38.79,,false,""
2024-01-02T16:00:00.000000,Italy,Italy,IT,235.4,307.65,46.51,40.44,,false,""
2024-01-02T17:00:00.000000,Italy,Italy,IT,234.23,306.23,46.83,40.7,,false,""
2024-01-02T18:00:00.000000,Italy,Italy,IT,233.51,305.5,47.06,40.62,,false,""
2024-01-02T19:00:00.000000,Italy,Italy,IT,234.84,307.87,46.93,40.63,,false,""
2024-01-02T20:00:00.000000,Italy,Italy,IT,234.3,307.35,47.45,40.98,,false,""
2024-01-02T21:00:00.000000,Italy,Italy,IT,218.99,287.85,51.89,44.56,,false,""
2024-01-02T22:00:00.000000,Italy,Italy,IT,202.7,267.3,56.21,47.94,,false,""
2024-01-02T23:00:00.000000,Italy,Italy,IT,185.57,245.61,60.95,51.5,,false,""
2024-01-03T00:00:00.000000,Italy,Italy,IT,171.58,229.38,64.02,53.8,,false,""
2024-01-03T01:00:00.000000,Italy,Italy,IT,171.17,228.39,64.53,55.41,,false,""
2024-01-03T02:00:00.000000,Italy,Italy,IT,165.37,220.75,66.15,57.28,,false,""
2024-01-03T03:00:00.000000,Italy,Italy,IT,164.55,219.88,66.07,57.1,,false,""
2024-01-03T04:00:00.000000,Italy,Italy,IT,166.64,223.16,64.83,55.15,,false,""
2024-01-03T05:00:00.000000,Italy,Italy,IT,181.56,241.03,61.13,51.89,,false,""
2024-01-03T06:00:00.000000,Italy,Italy,IT,198.17,261.01,56.98,49.27,,false,""
2024-01-03T07:00:00.000000,Italy,Italy,IT,198.17,261.25,56.4,50.32,,false,""
2024-01-03T08:00:00.000000,Italy,Italy,IT,193.06,255.4,57.54,51.25,,false,""
2024-01-03T09:00:00.000000,Italy,Italy,IT,182.47,243.83,59.67,53.22,,false,""
2024-01-03T10:00:00.000000,Italy,Italy,IT,167.8,226.93,62.65,56.07,,false,""
2024-01-03T11:00:00.000000,Italy,Italy,IT,151.44,206.96,66.62,59.89,,false,""
2024-01-03T12:00:00.000000,Italy,Italy,IT,144.11,197.85,68.38,60.72,,false,""
2024-01-03T13:00:00.000000,Italy,Italy,IT,161.58,219.04,64.11,55.96,,false,""
2024-01-03T14:00:00.000000,Italy,Italy,IT,188.76,251.81,57.79,49.38,,false,""
2024-01-03T15:00:00.000000,Italy,Italy,IT,201.24,265.86,55.21,47.08,,false,""
2024-01-03T16:00:00.000000,Italy,Italy,IT,201.83,265.35,55.1,48.16,,false,""
2024-01-03T17:00:00.000000,Italy,Italy,IT,205.37,270.01,54.25,47.06,,false,""
