Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Poland,Poland,PL,537.3,600.92,30.51,30.21,entsoe.eu,false,""
2024-01-01T01:00:00.000000,Poland,Poland,PL,542.52,606.72,29.73,29.37,entsoe.eu,false,""
2024-01-01T02:00:00.000000,Poland,Poland,PL,549.02,613.89,28.88,28.46,entsoe.eu,false,""
2024-01-01T03:00:00.000000,Poland,Poland,PL,557.37,622.94,27.85,27.33,entsoe.eu,false,""
2024-01-01T04:00:00.000000,Poland,Poland,PL,564.79,631.17,26.67,26.2,entsoe.eu,false,""
2024-01-01T05:00:00.000000,Poland,Poland,PL,573.67,641.37,25.23,24.77,entsoe.eu,false,""
2024-01-01T06:00:00.000000,Poland,Poland,PL,575.61,643.78,25.0,24.65,entsoe.eu,false,""
2024-01-01T07:00:00.000000,Poland,Poland,PL,567.87,635.95,25.64,25.23,entsoe.eu,false,""
2024-01-01T08:00:00.000000,Poland,Poland,PL,572.63,640.73,24.86,24.17,entsoe.eu,false,""
2024-01-01T09:00:00.000000,Poland,Poland,PL,572.33,639.82,25.15,24.32,entsoe.eu,false,""
2024-01-01T10:00:00.000000,Poland,Poland,PL,555.19,621.36,27.55,25.0,entsoe.eu,false,""
2024-01-01T11:00:00.000000,Poland,Poland,PL,557.7,623.61,27.27,24.36,entsoe.eu,false,""
2024-01-01T12:00:00.000000,Poland,Poland,PL,541.7,605.83,29.41,25.45,entsoe.eu,false,""
2024-01-01T13:00:00.000000,Poland,Poland,PL,542.96,607.87,29.14,25.86,entsoe.eu,false,""
2024-01-01T14:00:00.000000,Poland,Poland,PL,561.17,626.69,26.78,24.68,entsoe.eu,false,""
2024-01-01T15:00:00.000000,Poland,Poland,PL,552.0,616.42,28.0,25.63,entsoe.eu,false,""
2024-01-01T16:00:00.000000,Poland,Poland,PL,533.87,597.45,30.16,27.89,entsoe.eu,false,""
2024-01-01T17:00:00.000000,Poland,Poland,PL,520.21,583.16,31.85,28.95,entsoe.eu,false,""
2024-01-01T18:00:00.000000,Poland,Poland,PL,521.41,584.45,31.76,28.8,entsoe.eu,false,""
2024-01-01T19:00:00.000000,Poland,Poland,PL,537.19,600.55,29.75,27.35,entsoe.eu,false,""
2024-01-01T20:00:00.000000,Poland,Poland,PL,537.53,601.31,29.82,26.86,entsoe.eu,false,""
2024-01-01T21:00:00.000000,Poland,Poland,PL,552.92,618.08,27.76,25.55,entsoe.eu,false,""
2024-01-01T22:00:00.000000,Poland,Poland,PL,571.66,638.07,25.19,23.44,entsoe.eu,false,""
2024-01-01T23:00:00.000000,Poland,Poland,PL,569.41,636.67,25.13,23.87,entsoe.eu,false,""
2024-01-02T00:00:00.000000,Poland,Poland,PL,576.19,642.97,25.01,23.69,entsoe.eu,false,""
2024-01-02T01:00:00.000000,Poland,Poland,PL,586.99,653.92,23.97,22.82,entsoe.eu,false,""
2024-01-02T02:00:00.000000,Poland,Poland,PL,586.33,653.39,24.02,23.02,entsoe.eu,false,""
2024-01-02T03:00:00.000000,Poland,Poland,PL,596.08,663.36,23.05,22.34,entsoe.eu,false,""
2024-01-02T04:00:00.000000,Poland,Poland,PL,591.46,658.82,23.46,22.89,entsoe.eu,false,""
2024-01-02T05:00:00.000000,Poland,Poland,PL,597.94,665.98,22.06,21.32,entsoe.eu,false,""
2024-01-02T06:00:00.000000,Poland,Poland,PL,605.06,672.3,21.26,20.33,entsoe.eu,false,""
2024-01-02T07:00:00.000000,Poland,Poland,PL,608.93,675.82,21.03,19.93,entsoe.eu,false,""
2024-01-02T08:00:00.000000,Poland,Poland,PL,590.21,655.4,23.46,22.13,entsoe.eu,false,""
2024-01-02T09:00:00.000000,Poland,Poland,PL,561.43,624.76,27.56,25.48,entsoe.eu,false,""
2024-01-02T10:00:00.000000,Poland,Poland,PL,543.06,605.55,29.84,26.52,entsoe.eu,false,""
2024-01-02T11:00:00.000000,Poland,Poland,PL,551.53,614.06,28.92,25.75,entsoe.eu,false,""
2024-01-02T12:00:00.000000,Poland,Poland,PL,565.33,628.59,27.22,24.07,entsoe.eu,false,""
2024-01-02T13:00:00.000000,Poland,Poland,PL,590.11,654.27,24.26,22.64,entsoe.eu,false,""
2024-01-02T14:00:00.000000,Poland,Poland,PL,590.29,653.23,24.26,23.23,entsoe.eu,false,""
2024-01-02T15:00:00.000000,Poland,Poland,PL,576.2,636.98,26.03,25.06,entsoe.eu,false,""
2024-01-02T16:00:00.000000,Poland,Poland,PL,562.62,621.95,27.94,27.02,entsoe.eu,false,""
2024-01-02T17:00:00.000000,Poland,Poland,PL,552.51,611.58,29.14,28.35,entsoe.eu,false,""
2024-01-02T18:00:00.000000,Poland,Poland,PL,538.89,597.19,30.89,30.23,entsoe.eu,false,""
2024-01-02T19:00:00.000000,Poland,Poland,PL,526.04,584.0,32.38,31.91,entsoe.eu,false,""
2024-01-02T20:00:00.000000,Poland,Poland,PL,514.99,572.93,33.34,33.06,entsoe.eu,false,""
2024-01-02T21:00:00.000000,Poland,Poland,PL,518.81,577.93,32.77,32.56,entsoe.eu,false,""
2024-01-02T22:00:00.000000,Poland,Poland,PL,493.54,552.64,35.42,35.22,entsoe.eu,false,""
2024-01-02T23:00:00.000000,Poland,Poland,PL,480.59,538.45,37.53,37.25,entsoe.eu,false,""
2024-01-03T00:00:00.000000,Poland,Poland,PL,472.34,529.66,38.51,38.17,entsoe.eu,false,""
2024-01-03T01:00:00.000000,Poland,Poland,PL,470.79,527.99,38.73,38.35,entsoe.eu,false,""
2024-01-03T02:00:00.000000,Poland,Poland,PL,470.94,527.97,38.85,38.43,entsoe.eu,false,""
2024-01-03T03:00:00.000000,Poland,Poland,PL,471.35,528.47,38.69,38.41,entsoe.eu,false,""
2024-01-03T04:00:00.000000,Poland,Poland,PL,480.61,538.78,36.88,36.57,entsoe.eu,false,""
2024-01-03T05:00:00.000000,Poland,Poland,PL,499.13,557.36,34.92,34.66,entsoe.eu,false,""
2024-01-03T06:00:00.000000,Poland,Poland,PL,510.62,567.96,33.76,33.5,entsoe.eu,false,""
2024-01-03T07:00:00.000000,Poland,Poland,PL,506.57,563.54,34.42,34.16,entsoe.eu,false,""
2024-01-03T08:00:00.000000,Poland,Poland,PL,497.05,553.33,35.7,35.4,entsoe.eu,false,""
2024-01-03T09:00:00.000000,Poland,Poland,PL,496.6,553.46,35.79,35.6,entsoe.eu,false,""
2024-01-03T10:00:00.000000,Poland,Poland,PL,497.68,554.94,35.7,35.43,entsoe.eu,false,""
2024-01-03T11:00:00.000000,Poland,Poland,PL,508.54,566.64,34.33,34.05,entsoe.eu,false,""
2024-01-03T12:00:00.000000,Poland,Poland,PL,521.01,579.36,32.77,32.36,entsoe.eu,false,""
2024-01-03T13:00:00.000000,Poland,Poland,PL,539.12,599.07,30.26,29.52,entsoe.eu,false,""
2024-01-03T14:00:00.000000,Poland,Poland,PL,549.33,609.9,28.76,27.77,entsoe.eu,false,""
2024-01-03T15:00:00.000000,Poland,Poland,PL,546.53,605.56,29.17,28.51,entsoe.eu,false,""
2024-01-03T16:00:00.000000,Poland,Poland,PL,544.62,602.97,29.71,28.89,entsoe.eu,false,""
2024-01-03T17:00:00.000000,Poland,Poland,PL,541.47,600.31,30.12,29.16,entsoe.eu,false,""
2024-01-03T18:00:00.000000,Poland,Poland,PL,540.69,600.93,29.88,28.5,entsoe.eu,false,""
2024-01-03T19:00:00.000000,Poland,Poland,PL,533.16,593.49,31.0,28.79,entsoe.eu,false,""
2024-01-03T20:00:00.000000,Poland,Poland,PL,541.56,602.44,29.87,27.64,entsoe.eu,false,""
2024-01-03T21:00:00.000000,Poland,Poland,PL,552.2,614.46,28.15,27.11,entsoe.eu,false,""
2024-01-03T22:00:00.000000,Poland,Poland,PL,558.11,621.27,27.27,26.59,entsoe.eu,false,""
2024-01-03T23:00:00.000000,Poland,Poland,PL,558.88,622.22,27.42,26.66,entsoe.eu,false,""
2024-01-04T00:00:00.000000,Poland,Poland,PL,561.18,624.66,27.12,26.35,entsoe.eu,false,""
2024-01-04T01:00:00.000000,Poland,Poland,PL,563.17,626.24,27.16,26.4,entsoe.eu,false,""
2024-01-04T02:00:00.000000,Poland,Poland,PL,563.01,626.3,27.16,26.41,entsoe.eu,false,""
2024-01-04T03:00:00.000000,Poland,Poland,PL,565.45,629.02,26.69,26.03,entsoe.eu,false,""
2024-01-04T04:00:00.000000,Poland,Poland,PL,577.33,641.42,25.13,24.73,entsoe.eu,false,""
2024-01-04T05:00:00.000000,Poland,Poland,PL,591.28,655.9,23.44,22.92,entsoe.eu,false,""
2024-01-04T06:00:00.000000,Poland,Poland,PL,589.0,652.76,24.07,23.12,entsoe.eu,false,""
2024-01-04T07:00:00.000000,Poland,Poland,PL,581.44,643.93,25.11,24.16,entsoe.eu,false,""
2024-01-04T08:00:00.000000,Poland,Poland,PL,559.97,620.32,27.95,25.73,entsoe.eu,false,""
2024-01-04T09:00:00.000000,Poland,Poland,PL,539.62,598.85,30.36,27.29,entsoe.eu,false,""
2024-01-04T10:00:00.000000,Poland,Poland,PL,539.34,598.12,30.63,27.29,entsoe.eu,false,""
2024-01-04T11:00:00.000000,Poland,Poland,PL,529.63,588.77,31.91,28.94,entsoe.eu,false,""
2024-01-04T12:00:00.000000,Poland,Poland,PL,534.94,594.44,31.26,27.76,entsoe.eu,false,""
2024-01-04T13:00:00.000000,Poland,Poland,PL,548.26,608.08,29.72,28.13,entsoe.eu,false,""
2024-01-04T14:00:00.000000,Poland,Poland,PL,565.94,626.27,27.72,27.03,entsoe.eu,false,""
2024-01-04T15:00:00.000000,Poland,Poland,PL,575.56,635.65,26.29,25.81,entsoe.eu,false,""
2024-01-04T16:00:00.000000,Poland,Poland,PL,578.6,636.39,25.8,25.65,entsoe.eu,false,""
2024-01-04T17:00:00.000000,Poland,Poland,PL,582.33,640.04,25.36,25.16,entsoe.eu,false,""
2024-01-04T18:00:00.000000,Poland,Poland,PL,596.35,656.54,23.71,23.37,entsoe.eu,false,""
2024-01-04T19:00:00.000000,Poland,Poland,PL,594.55,655.94,24.06,23.42,entsoe.eu,false,""
2024-01-04T20:00:00.000000,Poland,Poland,PL,593.09,654.86,24.17,23.6,entsoe.eu,false,""
2024-01-04T21:00:00.000000,Poland,Poland,PL,579.28,642.11,25.35,24.2,entsoe.eu,false,""
2024-01-04T22:00:00.000000,Poland,Poland,PL,584.04,648.04,24.57,23.3,entsoe.eu,false,""
2024-01-04T23:00:00.000000,Poland,Poland,PL,603.14,668.5,22.45,21.25,entsoe.eu,false,""
2024-01-05T00:00:00.000000,Poland,Poland,PL,622.48,689.21,20.11,18.97,entsoe.eu,false,""
2024-01-05T01:00:00.000000,Poland,Poland,PL,630.67,698.65,18.63,17.58,entsoe.eu,false,""
2024-01-05T02:00:00.000000,Poland,Poland,PL,640.93,709.58,17.34,16.39,entsoe.eu,false,""
2024-01-05T03:00:00.000000,Poland,Poland,PL,658.58,727.84,15.22,14.17,entsoe.eu,false,""
2024-01-05T04:00:00.000000,Poland,Poland,PL,658.38,728.36,15.17,13.95,entsoe.eu,false,""
2024-01-05T05:00:00.000000,Poland,Poland,PL,670.13,739.7,14.02,13.03,entsoe.eu,false,""
2024-01-05T06:00:00.000000,Poland,Poland,PL,659.71,726.67,15.58,14.1,entsoe.eu,false,""
2024-01-05T07:00:00.000000,Poland,Poland,PL,643.09,708.55,17.61,14.68,entsoe.eu,false,""
2024-01-05T08:00:00.000000,Poland,Poland,PL,619.58,684.11,20.48,16.02,entsoe.eu,false,""
2024-01-05T09:00:00.000000,Poland,Poland,PL,608.2,673.22,21.92,16.81,entsoe.eu,false,""
2024-01-05T10:00:00.000000,Poland,Poland,PL,603.23,668.01,22.64,17.64,entsoe.eu,false,""
2024-01-05T11:00:00.000000,Poland,Poland,PL,604.81,669.48,22.61,18.36,entsoe.eu,false,""
2024-01-05T12:00:00.000000,Poland,Poland,PL,615.46,680.45,21.34,17.57,entsoe.eu,false,""
2024-01-05T13:00:00.000000,Poland,Poland,PL,627.78,693.45,19.76,16.52,entsoe.eu,false,""
2024-01-05T14:00:00.000000,Poland,Poland,PL,641.71,707.92,18.03,15.22,entsoe.eu,false,""
2024-01-05T15:00:00.000000,Poland,Poland,PL,643.38,708.45,17.81,15.28,entsoe.eu,false,""
2024-01-05T16:00:00.000000,Poland,Poland,PL,641.63,705.99,18.1,16.14,entsoe.eu,false,""
2024-01-05T17:00:00.000000,Poland,Poland,PL,636.79,701.2,18.61,16.64,entsoe.eu,false,""
2024-01-05T18:00:00.000000,Poland,Poland,PL,631.28,696.01,19.09,17.15,entsoe.eu,false,""
2024-01-05T19:00:00.000000,Poland,Poland,PL,631.09,696.8,19.13,17.45,entsoe.eu,false,""
2024-01-05T20:00:00.000000,Poland,Poland,PL,636.27,702.55,18.98,17.43,entsoe.eu,false,""
2024-01-05T21:00:00.000000,Poland,Poland,PL,619.88,685.14,21.4,18.82,entsoe.eu,false,""
2024-01-05T22:00:00.000000,Poland,Poland,PL,617.94,684.92,20.57,19.54,entsoe.eu,false,""
2024-01-05T23:00:00.000000,Poland,Poland,PL,602.25,669.1,22.22,19.84,entsoe.eu,false,""
2024-01-06T00:00:00.000000,Poland,Poland,PL,611.67,678.92,20.85,18.76,entsoe.eu,false,""
2024-01-06T01:00:00.000000,Poland,Poland,PL,615.82,683.31,20.19,18.05,entsoe.eu,false,""
2024-01-06T02:00:00.000000,Poland,Poland,PL,624.29,692.28,18.89,17.78,entsoe.eu,false,""
2024-01-06T03:00:00.000000,Poland,Poland,PL,622.27,690.61,19.1,17.66,entsoe.eu,false,""
2024-01-06T04:00:00.000000,Poland,Poland,PL,624.2,692.44,19.13,17.39,entsoe.eu,false,""
2024-01-06T05:00:00.000000,Poland,Poland,PL,620.16,686.77,20.39,17.92,entsoe.eu,false,""
2024-01-06T06:00:00.000000,Poland,Poland,PL,623.62,690.9,19.47,17.61,entsoe.eu,false,""
2024-01-06T07:00:00.000000,Poland,Poland,PL,616.84,683.78,20.37,18.96,entsoe.eu,false,""
2024-01-06T08:00:00.000000,Poland,Poland,PL,604.14,670.63,22.03,20.34,entsoe.eu,false,""
2024-01-06T09:00:00.000000,Poland,Poland,PL,607.85,673.11,21.75,20.82,entsoe.eu,false,""
2024-01-06T10:00:00.000000,Poland,Poland,PL,611.05,675.68,21.66,20.9,entsoe.eu,false,""
2024-01-06T11:00:00.000000,Poland,Poland,PL,608.06,672.86,22.02,21.11,entsoe.eu,false,""
2024-01-06T12:00:00.000000,Poland,Poland,PL,597.69,662.06,23.3,22.03,entsoe.eu,false,""
2024-01-06T13:00:00.000000,Poland,Poland,PL,586.08,650.28,24.63,22.42,entsoe.eu,false,""
2024-01-06T14:00:00.000000,Poland,Poland,PL,596.82,661.5,23.04,21.53,entsoe.eu,false,""
2024-01-06T15:00:00.000000,Poland,Poland,PL,598.0,661.48,23.02,21.82,entsoe.eu,false,""
2024-01-06T16:00:00.000000,Poland,Poland,PL,592.23,654.26,23.64,22.02,entsoe.eu,false,""
2024-01-06T17:00:00.000000,Poland,Poland,PL,586.37,647.85,24.19,22.92,entsoe.eu,false,""
2024-01-06T18:00:00.000000,Poland,Poland,PL,579.61,640.96,24.98,23.65,entsoe.eu,false,""
2024-01-06T19:00:00.000000,Poland,Poland,PL,559.77,620.45,27.94,25.43,entsoe.eu,false,""
2024-01-06T20:00:00.000000,Poland,Poland,PL,556.35,617.65,28.21,25.6,entsoe.eu,false,""
2024-01-06T21:00:00.000000,Poland,Poland,PL,561.67,624.36,27.56,24.25,entsoe.eu,false,""
2024-01-06T22:00:00.000000,Poland,Poland,PL,570.43,633.55,26.28,22.72,entsoe.eu,false,""
2024-01-06T23:00:00.000000,Poland,Poland,PL,579.35,643.09,25.09,22.62,entsoe.eu,false,""
2024-01-07T00:00:00.000000,Poland,Poland,PL,574.05,637.4,25.7,23.04,entsoe.eu,false,""
