Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01T00:00:00.000000,Spain,Spain,ES,97.63,133.19,79.6,43.25,entsoe.eu,false,""
2024-01-01T01:00:00.000000,Spain,Spain,ES,98.56,134.49,79.36,42.35,entsoe.eu,false,""
2024-01-01T02:00:00.000000,Spain,Spain,ES,104.42,141.79,78.05,40.08,entsoe.eu,false,""
2024-01-01T03:00:00.000000,Spain,Spain,ES,104.81,142.17,78.06,39.41,entsoe.eu,false,""
2024-01-01T04:00:00.000000,Spain,Spain,ES,108.22,146.74,77.08,38.3,entsoe.eu,false,""
2024-01-01T05:00:00.000000,Spain,Spain,ES,108.86,147.34,77.05,38.29,entsoe.eu,false,""
2024-01-01T06:00:00.000000,Spain,Spain,ES,104.56,142.05,77.96,39.82,entsoe.eu,false,""
2024-01-01T07:00:00.000000,Spain,Spain,ES,102.42,139.24,78.48,40.8,entsoe.eu,false,""
2024-01-01T08:00:00.000000,Spain,Spain,ES,102.34,139.92,78.2,42.48,entsoe.eu,false,""
2024-01-01T09:00:00.000000,Spain,Spain,ES,81.93,115.78,82.95,49.26,entsoe.eu,false,""
2024-01-01T10:00:00.000000,Spain,Spain,ES,64.83,95.95,86.88,56.65,entsoe.eu,false,""
2024-01-01T11:00:00.000000,Spain,Spain,ES,57.33,87.32,88.56,61.06,entsoe.eu,false,""
2024-01-01T12:00:00.000000,Spain,Spain,ES,53.52,83.02,89.34,62.7,entsoe.eu,false,""
2024-01-01T13:00:00.000000,Spain,Spain,ES,55.78,86.0,88.77,64.57,entsoe.eu,false,""
2024-01-01T14:00:00.000000,Spain,Spain,ES,55.16,85.44,88.88,66.22,entsoe.eu,false,""
2024-01-01T15:00:00.000000,Spain,Spain,ES,57.48,87.5,88.42,63.27,entsoe.eu,false,""
2024-01-01T16:00:00.000000,Spain,Spain,ES,75.45,107.7,84.19,52.5,entsoe.eu,false,""
2024-01-01T17:00:00.000000,Spain,Spain,ES,75.72,105.79,84.36,50.45,entsoe.eu,false,""
2024-01-01T18:00:00.000000,Spain,Spain,ES,67.5,94.69,86.39,53.94,entsoe.eu,false,""
2024-01-01T19:00:00.000000,Spain,Spain,ES,64.11,90.3,87.17,55.53,entsoe.eu,false,""
2024-01-01T20:00:00.000000,Spain,Spain,ES,67.09,93.93,86.45,54.9,entsoe.eu,false,""
2024-01-01T21:00:00.000000,Spain,Spain,ES,65.27,91.8,86.96,54.32,entsoe.eu,false,""
2024-01-01T22:00:00.000000,Spain,Spain,ES,69.63,97.73,86.01,52.42,entsoe.eu,false,""
2024-01-01T23:00:00.000000,Spain,Spain,ES,73.36,103.09,85.06,51.56,entsoe.eu,false,""
2024-01-02T00:00:00.000000,Spain,Spain,ES,74.55,104.65,84.7,51.52,entsoe.eu,false,""
2024-01-02T01:00:00.000000,Spain,Spain,ES,77.73,108.97,83.8,50.76,entsoe.eu,false,""
2024-01-02T02:00:00.000000,Spain,Spain,ES,74.94,105.57,84.5,51.18,entsoe.eu,false,""
2024-01-02T03:00:00.000000,Spain,Spain,ES,74.78,105.35,84.55,50.64,entsoe.eu,false,""
2024-01-02T04:00:00.000000,Spain,Spain,ES,78.72,110.26,83.63,49.84,entsoe.eu,false,""
2024-01-02T05:00:00.000000,Spain,Spain,ES,77.35,108.4,84.01,50.98,entsoe.eu,false,""
2024-01-02T06:00:00.000000,Spain,Spain,ES,76.56,107.37,84.15,52.61,entsoe.eu,false,""
2024-01-02T07:00:00.000000,Spain,Spain,ES,69.87,98.76,85.83,55.7,entsoe.eu,false,""
2024-01-02T08:00:00.000000,Spain,Spain,ES,61.96,88.84,87.81,60.46,entsoe.eu,false,""
2024-01-02T09:00:00.000000,Spain,Spain,ES,49.81,75.31,90.62,66.12,entsoe.eu,false,""
2024-01-02T10:00:00.000000,Spain,Spain,ES,48.0,74.09,91.0,68.43,entsoe.eu,false,""
2024-01-02T11:00:00.000000,Spain,Spain,ES,49.28,76.09,90.58,68.3,entsoe.eu,false,""
2024-01-02T12:00:00.000000,Spain,Spain,ES,47.41,73.45,91.15,68.99,entsoe.eu,false,""
2024-01-02T13:00:00.000000,Spain,Spain,ES,47.47,73.61,90.98,69.5,entsoe.eu,false,""
2024-01-02T14:00:00.000000,Spain,Spain,ES,44.81,70.24,91.66,70.96,entsoe.eu,false,""
2024-01-02T15:00:00.000000,Spain,Spain,ES,48.0,73.36,90.93,68.08,entsoe.eu,false,""
